id,collection,dspace.entity.type,nrcan.serial.code,dc.title[en],dc.title[fr],nrcan.serial.issn,nrcan.serial.issne,nrcan.serial.notes,nrcan.serial.urlname,nrcan.serial.url
+,123456789s/22,Serial,immabst,"Institution of Mining and Metallurgy, Abstracts","Institution of Mining and Metallurgy, Abstracts",0019-0020,,,,
+,123456789s/22,Serial,immbull,"Institution of Mining and Metallurgy, Bulletin","Institution of Mining and Metallurgy, Bulletin",0376-1770,,,,
+,123456789s/22,Serial,immtrana,"Institution of Mining and Metallurgy, Transactions, Section A: Mining Industry","Institution of Mining and Metallurgy, Transactions, Section A: Mining Industry",0371-7844,,,,
+,123456789s/22,Serial,immtranb,"Institution of Mining and Metallurgy, Transactions, Section B: Applied Earth Sciences","Institution of Mining and Metallurgy, Transactions, Section B: Applied Earth Sciences",0371-7453,,,,
+,123456789s/22,Serial,immtranc,"Institution of Mining and Metallurgy, Transactions, Section C: Mineral Processing & Extractive Metallurgy","Institution of Mining and Metallurgy, Transactions, Section C: Mineral Processing & Extractive Metallurgy",0371-9553,,,,
+,123456789s/22,Serial,impoilrv,Indian Geohydrology,Indian Geohydrology,0537-1694,,,,
+,123456789s/22,Serial,imporev,Imperial Oil Review,Imperial Oil Review,0012-2910,,,,
+,123456789s/22,Serial,indminrl,Industrial Minerals,Industrial Minerals,,,,,
+,123456789s/22,Serial,indtopic,Industrial Topics,Industrial Topics,,,,,
+,123456789s/22,Serial,inquagb,INQUA 87 Excursion Guide Book,INQUA 87 Excursion Guide Book,,,,,
+,123456789s/22,Serial,insight,Atlantic Insight,Atlantic Insight,0708-5400,,,,
+,123456789s/22,Serial,intjcoal,International Journal of Coal Geology,International Journal of Coal Geology,0166-5162,1943-2682,,,
+,123456789s/22,Serial,intssalt,"International Symposium on Salt, Technical Program and Abstracts","International Symposium on Salt, Technical Program and Abstracts",,,,,
+,123456789s/22,Serial,invgeoph,Investigations in Geophysics,Investigations in Geophysics,0016-8033,1942-2156,,,
+,123456789s/22,Serial,iosayb,"International Oil Scouts Association, Year Book","International Oil Scouts Association, Year Book",,,,,
+,123456789s/22,Serial,ipgpcont,"Institut de Physique du Globe de Paris, Contribution","Institut de Physique du Globe de Paris, Contribution",,,,,
+,123456789s/22,Serial,ironore,Iron Ore,Iron Ore,,,,,
+,123456789s/22,Serial,iscbull,"International Seismological Centre, Bulletin","International Seismological Centre, Bulletin",0020-8671,,continued by the electronic Summary of the Bulletin of the International Seismological Centre,,
+,123456789s/22,Serial,iscproc,"International Sedimentology Congress, Proceedings","International Sedimentology Congress, Proceedings",0037-0746,1365-3091,,,
+,123456789s/22,Serial,isotgsci,Isotope Geoscience,Isotope Geoscience,0167-6695,,,,
+,123456789s/22,Serial,issscont,"International Society of Soil Science, Contribution","International Society of Soil Science, Contribution",,1095-9203,,,
+,123456789s/22,Serial,iucgsrep,"Inter-union Commission on Geodynamics, Scientific Report","Inter-union Commission on Geodynamics, Scientific Report",,,,,
+,123456789s/22,Serial,iumpcanc,"International Upper Mantle Project, Canadian Contribution","International Upper Mantle Project, Canadian Contribution",,,,,
+,123456789s/22,Serial,jaaspect,Journal of Analytical Atomic Spectrometry,Journal of Analytical Atomic Spectrometry,0267-9477,1364-5544,,,
+,123456789s/22,Serial,jafresci,Journal of African Earth Sciences,Journal of African Earth Sciences,0731-7247,,,,
+,123456789s/22,Serial,jappgeop,Journal of Applied Geophysics,Journal of Applied Geophysics,0016-8033,1942-2156,,,
+,123456789s/22,Serial,jappprob,Journal of Applied Probability,Journal of Applied Probability,0021-9002,,,,
+,123456789s/22,Serial,jaterrp,Journal of Atmospheric and Terrestrial Physics,Journal of Atmospheric and Terrestrial Physics,0021-9169,,continued by Journal of Atmospheric and Solar-Terrestrial Physics,,
+,123456789s/22,Serial,jcancers,Journal of the Canadian Ceramic Society,Journal of the Canadian Ceramic Society,0068-8444,,,,
+,123456789s/22,Serial,jcanpett,Journal of Canadian Petroleum Technology,Journal of Canadian Petroleum Technology,0021-9487,,,,
+,123456789s/22,Serial,jclimate,Journal of Climatology,Journal of Climatology,0196-1748,,,,
+,123456789s/22,Serial,jcoastr,Journal of Coastal Research,Journal of Coastal Research,0749-0208,,,,
+,123456789s/22,Serial,jconthyd,Journal of Contaminant Hydrology,Journal of Contaminant Hydrology,0169-7722,,,,
+,123456789s/22,Serial,jcwacsci,Journal of the Colorado - Wyoming Academy of Science,Journal of the Colorado - Wyoming Academy of Science,,1095-9203,,,
+,123456789s/22,Serial,jenvqual,Journal of Environmental Quality,Journal of Environmental Quality,0047-2425,1537-2537,,,
+,123456789s/22,Serial,jesh,Journal of Environmental Science and Health:  Part A,Journal of Environmental Science and Health:  Part A,,1095-9203,,,
+,123456789s/22,Serial,jfcmi,Journal of the Federated Canadian Mining Institute,Journal of the Federated Canadian Mining Institute,,,,,
+,123456789s/22,Serial,jfishrb,Journal of the Fisheries Research Board of Canada,Journal of the Fisheries Research Board of Canada,0015-296X,,,,
+,123456789s/22,Serial,jforamr,Journal of Foraminiferal Research,Journal of Foraminiferal Research,0096-1191,,,,
+,123456789s/22,Serial,jgeocexp,Journal of Geochemical Exploration,Journal of Geochemical Exploration,0375-6742,,,,
+,123456789s/22,Serial,jgeodyn,Journal of Geodynamics,Journal of Geodynamics,0264-3707,,,,
+,123456789s/22,Serial,jgeol,Journal of Geology,Journal of Geology,,1943-2682,,,
+,123456789s/22,Serial,jgeoled,Journal of Geological Education,Journal of Geological Education,0022-1368,,,,
+,123456789s/22,Serial,jgeomgeo,Journal of Geomagnetism and Geoelectricity,Journal of Geomagnetism and Geoelectricity,0022-1392,,,,
+,123456789s/22,Serial,jgeomor,Journal of Geomorphology,Journal of Geomorphology,0169-555X,,,,
+,123456789s/22,Serial,jgeophy,Journal of Geophysics (Zeitschrift Fur Geophysik),Journal of Geophysics (Zeitschrift Fur Geophysik),0016-8033,1942-2156,,,
+,123456789s/22,Serial,jgeopres,Journal of Geophysical Research,Journal of Geophysical Research,0022-1406,,Until 1974.,,
+,123456789s/22,Serial,jgeoresd,"Journal of Geophysical Research, D, Atmospheres","Journal of Geophysical Research, D, Atmospheres",0747-7309,,,,
+,123456789s/22,Serial,jgeosoci,Journal of the Geological Society of India,Journal of the Geological Society of India,0016-7622,,,,
+,123456789s/22,Serial,jgeoteng,Journal of Geotechnical Engineering,Journal of Geotechnical Engineering,0733-9410,,,,
+,123456789s/22,Serial,jglacid,Journal of Glaciology,Journal of Glaciology,0022-1430,,,,
+,123456789s/22,Serial,jgrlres,Journal of Great Lakes Research,Journal of Great Lakes Research,0380-1330,,,,
+,123456789s/22,Serial,jhapei,Journal of the House of Assembly of Prince Edward Island,Journal of the House of Assembly of Prince Edward Island,,,,,
+,123456789s/22,Serial,jhydeng,Journal of Hydraulic Engineering,Journal of Hydraulic Engineering,0733-9429,,,,
+,123456789s/22,Serial,jhydrol,Journal of Hydrology,Journal of Hydrology,00SS-1694,,,,
+,123456789s/22,Serial,jiamgeol,Journal of the International Association For Mathematical Geology,Journal of the International Association For Mathematical Geology,,1943-2682,"Vol.1-17 (1969-1985). Continued by Mathematical geology, ISSN 0882-8121",,
+,123456789s/22,Serial,jmetgeol,Journal of Metamorphic Geology,Journal of Metamorphic Geology,0263-4929,1943-2682,,,
+,123456789s/22,Serial,jminsns,Journal of the Mining Society of Nova Scotia,Journal of the Mining Society of Nova Scotia,,,,,
+,123456789s/22,Serial,jpaleo,Journal of Paleontology,Journal of Paleontology,0022-3360,,,,
+,123456789s/22,Serial,jpallimn,Journal of Paleolimnology,Journal of Paleolimnology,0921-2728,,,,
+,123456789s/22,Serial,jpetgeol,Journal of Petroleum Geology,Journal of Petroleum Geology,0141-6421,1943-2682,,,
+,123456789s/22,Serial,jpetrol,Journal of Petrology,Journal of Petrology,0022-3530,,,,
+,123456789s/22,Serial,jpettech,Journal of Petroleum Technology,Journal of Petroleum Technology,0022-3522,,,,
+,123456789s/22,Serial,jpscieng,Journal of Petroleum Science & Engineering,Journal of Petroleum Science & Engineering,,1095-9203,,,
+,123456789s/22,Serial,jquatsci,Journal of Quaternary Science,Journal of Quaternary Science,0267-8179,1095-9203,,,
+,123456789s/22,Serial,jradnch,Journal of Radioanalytical and Nuclear Chemistry,Journal of Radioanalytical and Nuclear Chemistry,0236-5731,,,,
+,123456789s/22,Serial,jradncha,"Journal of Radioanalytical and Nuclear Chemistry, Articles","Journal of Radioanalytical and Nuclear Chemistry, Articles",0236-5731,,,,
+,123456789s/22,Serial,jradnchl,"Journal of Radioanalytical and Nuclear Chemistry, Letters","Journal of Radioanalytical and Nuclear Chemistry, Letters",0236-5731,,,,
+,123456789s/22,Serial,jrasc,Journal of the Royal Astronomical Society of Canada,Journal of the Royal Astronomical Society of Canada,,,,,
+,123456789s/22,Serial,jsedpet,Journal of Sedimentary Petrology,Journal of Sedimentary Petrology,0022-4472,,,,
+,123456789s/22,Serial,jsedsjpn,Journal of the Sedimentological Society of Japan,Journal of the Sedimentological Society of Japan,0285-1555,,,,
+,123456789s/22,Serial,jsoilsci,Journal of Soil Science,Journal of Soil Science,,1095-9203,,,
+,123456789s/22,Serial,jspacer,Journal of Spacecraft and Rockets,Journal of Spacecraft and Rockets,0022-4650,,,,
+,123456789s/22,Serial,jstructg,Journal of Structural Geology,Journal of Structural Geology,0191-8141,1943-2682,,,
+,123456789s/22,Serial,junk,Junk (The Hague),Junk (The Hague),,,,,
+,123456789s/22,Serial,jvertpal,Journal of Vertebrate Paleontology,Journal of Vertebrate Paleontology,0272-4634,,,,
+,123456789s/22,Serial,jvolgeor,Journal of Volcanology and Geothermal Research,Journal of Volcanology and Geothermal Research,0377-0273,,,,
+,123456789s/22,Serial,jwatrpm,Journal of Water Resources Planning and Management,Journal of Water Resources Planning and Management,,,,,
+,123456789s/22,Serial,kdprib,"Kyoto University, Disaster Prevention Research Institute, Bulletin","Kyoto University, Disaster Prevention Research Institute, Bulletin",0454-7683,,,,
+,123456789s/22,Serial,keckrsg,Keck Research Symposium in Geology,Keck Research Symposium in Geology,,1943-2682,,,
+,123456789s/22,Serial,knawpb,"Koninklijke Nederlandse Akademie Van Wetenschappen, Proceedings, Series B, Palaeontology, Geology, Physics, Chemistry, Anthropology","Koninklijke Nederlandse Akademie Van Wetenschappen, Proceedings, Series B, Palaeontology, Geology, Physics, Chemistry, Anthropology",0031-0239,1475-4983,,,
+,123456789s/22,Serial,krystal,Krystalinikum,Krystalinikum,0454-5524,,,,
+,123456789s/22,Serial,kupalc,"University of Kansas, Paleontology Contribution","University of Kansas, Paleontology Contribution",,,,,
+,123456789s/22,Serial,lamontyb,"Columbia University, Lamont Geological Observatory, Yearbook","Columbia University, Lamont Geological Observatory, Yearbook",,,,,
+,123456789s/22,Serial,landnews,Landslide News,Landslide News,,,,,
+,123456789s/22,Serial,lapidj,Lapidary Journal,Lapidary Journal,0023-8457,,,,
+,123456789s/22,Serial,lblabar,"Lawrence Berkeley Laboratory, Energy and Environment Division, Annual Report","Lawrence Berkeley Laboratory, Energy and Environment Division, Annual Report",,,,,
+,123456789s/22,Serial,ldgocont,"Lamont-doherty Geological Observatory, Contribution","Lamont-doherty Geological Observatory, Contribution",,,,,
+,123456789s/22,Serial,lethaia,Lethaia,Lethaia,0024-1164,,,,
+,123456789s/22,Serial,lgocont,"Lamont Geological Observatory, Contribution","Lamont Geological Observatory, Contribution",,,,,
+,123456789s/22,Serial,limocean,Limnology and Oceanography,Limnology and Oceanography,1042-8275,,,,
+,123456789s/22,Serial,linnbjz,"Linnean Society of London, Biological Journal, Zoology","Linnean Society of London, Biological Journal, Zoology",0024-4066,,,,
+,123456789s/22,Serial,lithos,Lithos,Lithos,0024-4937,,,,
+,123456789s/22,Serial,loganal,The Log Analyst,The Log Analyst,0024-581X,,,,
+,123456789s/22,Serial,lorex,Lorex Contribution Series,Lorex Contribution Series,,,,,
+,123456789s/22,Serial,losaslr,"Los Alamos Scientific Laboratory, Report","Los Alamos Scientific Laboratory, Report",,,,,
+,123456789s/22,Serial,lpicont,Lunar and Planetary Institute Contribution,Lunar and Planetary Institute Contribution,,,,,
+,123456789s/22,Serial,lpitr,"Lunar and Planetary Institute, Technical Record","Lunar and Planetary Institute, Technical Record",,,,,
+,123456789s/22,Serial,lslproc,"Linnean Society of London, Proceedings","Linnean Society of London, Proceedings",,,,,
+,123456789s/22,Serial,macschb,"Mineralogical Association of Canada, Short Course Handbook","Mineralogical Association of Canada, Short Course Handbook",,,,,
+,123456789s/22,Serial,magmsssr,"Manitoba Department of Agriculture, Manitoba Soil Survey, Soil Report","Manitoba Department of Agriculture, Manitoba Soil Survey, Soil Report",,,,,
+,123456789s/22,Serial,magnecc,Magnec Contribution Series,Magnec Contribution Series,,,,,
+,123456789s/22,Serial,mangbull,Manitoba Government Bulletin,Manitoba Government Bulletin,,,,,
+,123456789s/22,Serial,mangeod,Manuscripta Geodaetica,Manuscripta Geodaetica,0340-8825,,,,
+,123456789s/22,Serial,marchem,Marine Chemistry,Marine Chemistry,0304-4203,,,,
+,123456789s/22,Serial,margeol,Marine Geology,Marine Geology,0025-3227,1943-2682,,,
+,123456789s/22,Serial,maritsed,Maritime Sediments,Maritime Sediments,0025-3456,,,,
+,123456789s/22,Serial,marmicro,Marine Micropaleontology,Marine Micropaleontology,0026-2803,,,,
+,123456789s/22,Serial,marmng,Marine Mining,Marine Mining,0149-0397,,,,
+,123456789s/22,Serial,marpetg,Marine and Petroleum Geology,Marine and Petroleum Geology,0264-8172,1943-2682,,,
+,123456789s/22,Serial,marpollb,Marine Pollution Bulletin,Marine Pollution Bulletin,0025-326X,,,,
+,123456789s/22,Serial,marsag,Maritime Sediments and Atlantic Geology,Maritime Sediments and Atlantic Geology,,1943-2682,,,
+,123456789s/22,Serial,marsci,Marine Science,Marine Science,,1095-9203,,,
+,123456789s/22,Serial,marsedsp,"Maritime Sediments, Special Publication","Maritime Sediments, Special Publication",,,,,
+,123456789s/22,Serial,martecsj,"Marine Technology Society, Journal","Marine Technology Society, Journal",0025-3324,,,,
+,123456789s/22,Serial,martecsm,"Marine Technology Society, Memo","Marine Technology Society, Memo",,,,,
+,123456789s/22,Serial,martecst,"Marine Technology Society, Transactions of the  Conference and Exhibit","Marine Technology Society, Transactions of the  Conference and Exhibit",,,,,
+,123456789s/22,Serial,marterbi,"Marees Terrestres, Bulletin D'informations","Marees Terrestres, Bulletin D'informations",0542-6766,,,,
+,123456789s/22,Serial,massoicr,"Woods Hole, Mass Oceanographic Institution, Collected Reprints","Woods Hole, Mass Oceanographic Institution, Collected Reprints",0364-4189,,,,
+,123456789s/22,Serial,mbmgspub,Montana Bureau of Mines and Geology Special Publication,Montana Bureau of Mines and Geology Special Publication,,1943-2682,,,
+,123456789s/22,Serial,mczbull,"Museum of Comparative Zoology, Bulletin","Museum of Comparative Zoology, Bulletin",0027-4100,,,,
+,123456789s/22,Serial,mdgwa,"Manitoba Department of Energy and Mines, Water Resources Branch, Groundwater Availability Map Series","Manitoba Department of Energy and Mines, Water Resources Branch, Groundwater Availability Map Series",,,,,
+,123456789s/22,Serial,mdicbull,"Manitoba Department of Industry and Commerce, Bulletin","Manitoba Department of Industry and Commerce, Bulletin",,,,,
+,123456789s/22,Serial,mdmemmap,"Manitoba Department of Mines, Resources and Environmetal Management, Mines Branch, Map","Manitoba Department of Mines, Resources and Environmetal Management, Mines Branch, Map",,,,,
+,123456789s/22,Serial,mdmnram,"Manitoba Department of Mines and Natural Resources, Mines Branch, Aeromagnetic Map","Manitoba Department of Mines and Natural Resources, Mines Branch, Aeromagnetic Map",,,,,
+,123456789s/22,Serial,mdmnregm,"Manitoba Department of Mines, Resources and Environmental Management, Geology Map","Manitoba Department of Mines, Resources and Environmental Management, Geology Map",,1943-2682,,,
+,123456789s/22,Serial,mdmnregr,"Manitoba Department of Natural Resources and Environment, Geological Report","Manitoba Department of Natural Resources and Environment, Geological Report",,,,,
+,123456789s/22,Serial,mdmnrema,"Manitoba Department of Mines, Resources and Environment, Map","Manitoba Department of Mines, Resources and Environment, Map",,,,,
+,123456789s/22,Serial,mdmnrgb,"Manitoba Department of Mines and Natural Resources, Guidebook","Manitoba Department of Mines and Natural Resources, Guidebook",,,,,
+,123456789s/22,Serial,mdmnrgm,"Manitoba Department of Mines and Natural Resources, Geological Map","Manitoba Department of Mines and Natural Resources, Geological Map",,,,,
+,123456789s/22,Serial,mdmnrgp,"Manitoba Department of Mines and Natural Resources, Mines Branch, Geological Paper","Manitoba Department of Mines and Natural Resources, Mines Branch, Geological Paper",0076-387X,,,,
+,123456789s/22,Serial,mdmnrmap,"Manitoba Department of Mines and Natural Resources, Mineral Resources Division Map","Manitoba Department of Mines and Natural Resources, Mineral Resources Division Map",,,,,
+,123456789s/22,Serial,mdmnrmbm,"Manitoba Department of Mines and Natural Resources, Mines Branch, Map","Manitoba Department of Mines and Natural Resources, Mines Branch, Map",,,,,
+,123456789s/22,Serial,mdmnrpm,"Manitoba Department of Mines and Natural Resources, Mines Branch, Preliminary Map","Manitoba Department of Mines and Natural Resources, Mines Branch, Preliminary Map",,,,,
+,123456789s/22,Serial,mdmnrpr,"Manitoba Department of Mines and Natural Resources, Mines Branch, Preliminary Report","Manitoba Department of Mines and Natural Resources, Mines Branch, Preliminary Report",,,,,
+,123456789s/22,Serial,mdmnrpub,"Manitoba Department of Mines and Natural Resources, Mineral Resources Division Publication","Manitoba Department of Mines and Natural Resources, Mineral Resources Division Publication",,,,,
+,123456789s/22,Serial,mdmnrrep,"Manitoba Department of Mines and Natural Resources, Mines Branch, Report","Manitoba Department of Mines and Natural Resources, Mines Branch, Report",,,,,
+,123456789s/22,Serial,mdmnrsm,"Manitoba Department of Mines and Natural Resources, Mines Branch, Stratigraphic Map Series","Manitoba Department of Mines and Natural Resources, Mines Branch, Stratigraphic Map Series",,,,,
+,123456789s/22,Serial,mdmnrwbr,"Manitoba Department of Mines and Natural Resources, Water Resources Branch, Report","Manitoba Department of Mines and Natural Resources, Water Resources Branch, Report",,,,,
+,123456789s/22,Serial,mdmremgm,"Manitoba Department of Mines, Resources and Environmental Management, Geological Map","Manitoba Department of Mines, Resources and Environmental Management, Geological Map",,,,,
+,123456789s/22,Serial,mdmremgp,"Manitoba Department of Mines, Resources and Environmental Management., Geology Paper","Manitoba Department of Mines, Resources and Environmental Management., Geology Paper",,1943-2682,,,
+,123456789s/22,Serial,mdmremir,"Manitoba Department of Mines, Resources and Environmental Management, Unpublished Interim Report","Manitoba Department of Mines, Resources and Environmental Management, Unpublished Interim Report",,,,,
+,123456789s/22,Serial,mdmremof,"Manitoba Department of Mines, Resources and Environmental Management, Open File Report","Manitoba Department of Mines, Resources and Environmental Management, Open File Report",,,,,
+,123456789s/22,Serial,mdmremp,"Manitoba Department of Mines, Resources and Environmental Management, Publication","Manitoba Department of Mines, Resources and Environmental Management, Publication",,,,,
+,123456789s/22,Serial,mdmrempm,"Manitoba Department of Mines, Resources and Environmental Management, Preliminary Map","Manitoba Department of Mines, Resources and Environmental Management, Preliminary Map",,,,,
+,123456789s/22,Serial,mdmremra,"Manitoba Department of Mines, Resources and Environmental Management, Mineral Resources Division, Report of Activities","Manitoba Department of Mines, Resources and Environmental Management, Mineral Resources Division, Report of Activities",,,,,
+,123456789s/22,Serial,mdmwrbr,"Manitoba Department of Mines, Resources and Environmental Management, Water Resources Branch, Report","Manitoba Department of Mines, Resources and Environmental Management, Water Resources Branch, Report",,,,,
+,123456789s/22,Serial,meddgrog,"Meddelelser Om Gronland, Geoscience","Meddelelser Om Gronland, Geoscience",0106-1046,,,,
+,123456789s/22,Serial,memannr,"Manitoba Department of Energy and Mines, Annual Report","Manitoba Department of Energy and Mines, Annual Report",,,,,
+,123456789s/22,Serial,memarcm,"Manitoba Department of Energy and Mines, Aggregate Resources Compilation Map","Manitoba Department of Energy and Mines, Aggregate Resources Compilation Map",,,,,
+,123456789s/22,Serial,membgcm,"Manitoba Department of Energy and Mines, Bedrock Geology Compilation Map Series","Manitoba Department of Energy and Mines, Bedrock Geology Compilation Map Series",,1943-2682,,,
+,123456789s/22,Serial,membroch,"Manitoba Department of Energy and Mines, Brochure","Manitoba Department of Energy and Mines, Brochure",,,,,
+,123456789s/22,Serial,memgsegr,"Manitoba Department of Energy and Mines, Geological Services, Economic Geology Report","Manitoba Department of Energy and Mines, Geological Services, Economic Geology Report",,1943-2682,,,
+,123456789s/22,Serial,memgsgr,"Manitoba Department of Energy and Mines, Geological Services, Geological Report","Manitoba Department of Energy and Mines, Geological Services, Geological Report",,,,,
+,123456789s/22,Serial,memgsir,"Manitoba Department of Energy and Mines, Geological Services, Internal Report","Manitoba Department of Energy and Mines, Geological Services, Internal Report",,,,,
+,123456789s/22,Serial,memgsmap,"Manitoba Department of Energy and Mines, Geological Services, Geological Map","Manitoba Department of Energy and Mines, Geological Services, Geological Map",,,,,
+,123456789s/22,Serial,memgsmds,"Manitoba Department of Energy and Mines, Geological Services, Mineral Deposit Series","Manitoba Department of Energy and Mines, Geological Services, Mineral Deposit Series",,,,,
+,123456789s/22,Serial,memgsofr,"Manitoba Department of Energy and Mines, Geological Services, Open File Report","Manitoba Department of Energy and Mines, Geological Services, Open File Report",,,,,
+,123456789s/22,Serial,memgspm,"Manitoba Department of Energy and Mines, Geological Services, Preliminary Map","Manitoba Department of Energy and Mines, Geological Services, Preliminary Map",,,,,
+,123456789s/22,Serial,memgsra,"Manitoba Department of Energy and Mines, Geological Services, Report of Activities","Manitoba Department of Energy and Mines, Geological Services, Report of Activities",,,,,
+,123456789s/22,Serial,memmbar,"Manitoba Department of Energy and Mines, Mines Branch, Annual Report","Manitoba Department of Energy and Mines, Mines Branch, Annual Report",,,,,
+,123456789s/22,Serial,memmbcf,"Manitoba Department of Energy and Mines, Mines Branch, Corporation File","Manitoba Department of Energy and Mines, Mines Branch, Corporation File",,,,,
+,123456789s/22,Serial,memmbir,"Manitoba Department of Energy and Mines, Mines Branch, Internal Report","Manitoba Department of Energy and Mines, Mines Branch, Internal Report",,,,,
+,123456789s/22,Serial,memmbmes,"Manitoba Department of Energy and Mines, Mines Branch, Mineral Education Series","Manitoba Department of Energy and Mines, Mines Branch, Mineral Education Series",,,,,
+,123456789s/22,Serial,memmbof,"Manitoba Department of Energy and Mines, Mines Branch, Open File","Manitoba Department of Energy and Mines, Mines Branch, Open File",,,,,
+,123456789s/22,Serial,memmbpm,"Manitoba Department of Energy and Mines, Mines Branch, Preliminary Map","Manitoba Department of Energy and Mines, Mines Branch, Preliminary Map",,,,,
+,123456789s/22,Serial,memmbpub,"Manitoba Department of Energy and Mines, Mines Branch Publication","Manitoba Department of Energy and Mines, Mines Branch Publication",,,,,
+,123456789s/22,Serial,memmbuif,"Manitoba Department of Energy and Mines, Mines Branch, Unpublished Information File","Manitoba Department of Energy and Mines, Mines Branch, Unpublished Information File",,,,,
+,123456789s/22,Serial,memmdms,"Manitoba Department of Energy and Mines, Mineral Deposit Map Series","Manitoba Department of Energy and Mines, Mineral Deposit Map Series",,,,,
+,123456789s/22,Serial,memmdpm,"Manitoba Department of Energy and Mines, Minerals Division, Preliminary Map","Manitoba Department of Energy and Mines, Minerals Division, Preliminary Map",,,,,
+,123456789s/22,Serial,memmdra,"Manitoba Department of Energy and Mines, Minerals Division, Report of Activities","Manitoba Department of Energy and Mines, Minerals Division, Report of Activities",,,,,
+,123456789s/22,Serial,memmiscp,"Manitoba Department of Energy and Mines, Mines Branch, Miscellaneous Paper","Manitoba Department of Energy and Mines, Mines Branch, Miscellaneous Paper",,,,,
+,123456789s/22,Serial,memmrdar,"Manitoba Department of Energy and Mines, Mineral Resources Division, Aggregate Report","Manitoba Department of Energy and Mines, Mineral Resources Division, Aggregate Report",,,,,
+,123456789s/22,Serial,memmrdeg,"Manitoba Department of Energy and Mines, Mineral Resources Division, Economic Geology Report","Manitoba Department of Energy and Mines, Mineral Resources Division, Economic Geology Report",,1943-2682,,,
+,123456789s/22,Serial,memmrdes,"Manitoba Department of Energy and Mines, Mineral Resources Division, Educational Series","Manitoba Department of Energy and Mines, Mineral Resources Division, Educational Series",,,,,
+,123456789s/22,Serial,memmrdgr,"Manitoba Department of Energy and Mines, Mineral Resources Division, Geological Report","Manitoba Department of Energy and Mines, Mineral Resources Division, Geological Report",,,,,
+,123456789s/22,Serial,memmrdim,"Manitoba Department of Energy and Mines, Mineral Resources Division, Index Map Series","Manitoba Department of Energy and Mines, Mineral Resources Division, Index Map Series",,,,,
+,123456789s/22,Serial,memmrdm,"Manitoba Department of Energy and Mines, Mineral Resources Division, Map","Manitoba Department of Energy and Mines, Mineral Resources Division, Map",,,,,
+,123456789s/22,Serial,memmrdof,"Manitoba Department of Energy and Mines, Mineral Resources Division, Open File Report","Manitoba Department of Energy and Mines, Mineral Resources Division, Open File Report",,,,,
+,123456789s/22,Serial,memmrdpm,"Manitoba Department of Energy and Mines, Mineral Resources Division, Preliminary Map","Manitoba Department of Energy and Mines, Mineral Resources Division, Preliminary Map",,,,,
+,123456789s/22,Serial,memmrdra,"Manitoba Department of Energy and Mines, Mineral Resources Division, Report of Activities","Manitoba Department of Energy and Mines, Mineral Resources Division, Report of Activities",,,,,
+,123456789s/22,Serial,mempbmes,"Manitoba Department of Energy and Mines, Petroleum Branch, Mineral Education Series","Manitoba Department of Energy and Mines, Petroleum Branch, Mineral Education Series",,,,,
+,123456789s/22,Serial,mempdpub,"Manitoba Department of Energy and Mines, Petroleum Division, Publication","Manitoba Department of Energy and Mines, Petroleum Division, Publication",,,,,
+,123456789s/22,Serial,memuannr,"Memorial University of Newfoundland, Annual Report","Memorial University of Newfoundland, Annual Report",,,,,
+,123456789s/22,Serial,metalbul,Metallurgical Bulletin,Metallurgical Bulletin,,,,,
+,123456789s/22,Serial,meteoric,Meteoritics,Meteoritics,0026-1114,,,,
+,123456789s/22,Serial,meteorka,Meteoritika,Meteoritika,0369-2507,,,,
+,123456789s/22,Serial,meterz,Gesellschaft Deutscher Metallhutten Und Bergleute (Metall Und Erz),Gesellschaft Deutscher Metallhutten Und Bergleute (Metall Und Erz),0368-9514,,,,
+,123456789s/22,Serial,micropal,Micropaleontology,Micropaleontology,0026-2803,,Commenced January 1955.,,
+,123456789s/22,Serial,minacsci,"Minnesota Academy of Science, Bulletins","Minnesota Academy of Science, Bulletins",,1095-9203,,,
+,123456789s/22,Serial,minar,Mining Annual Review,Mining Annual Review,0076-8995,,,,
+,123456789s/22,Serial,mincan,Mining in Canada,Mining in Canada,0047-7494,,,,
+,123456789s/22,Serial,mincongj,Mining Congress Journal,Mining Congress Journal,0026-5160,,,,
+,123456789s/22,Serial,minengc,"Mining Engineering (Littleton, Colorado)","Mining Engineering (Littleton, Colorado)",0026-5187,,,,
+,123456789s/22,Serial,minengl,Mining Engineering (London),Mining Engineering (London),0026-5179,,,,
+,123456789s/22,Serial,minengn,Mining Engineering (New York),Mining Engineering (New York),0026-5187,,,,
+,123456789s/22,Serial,minerbc,Miner (British Columbia),Miner (British Columbia),0381-6559,,,,
+,123456789s/22,Serial,mingeol,Kozan Chishitsu (Mining Geology),Kozan Chishitsu (Mining Geology),,1943-2682,,,
+,123456789s/22,Serial,miningm,Mining Magazine,Mining Magazine,0462-6230,,,,
+,123456789s/22,Serial,minj,Mineralogical Journal,Mineralogical Journal,0544-2540,,,,
+,123456789s/22,Serial,minjour,Mining Journal,Mining Journal,0026-5225,,,,
+,123456789s/22,Serial,minleng,Minerals Engineering,Minerals Engineering,0892-6875,,,,
+,123456789s/22,Serial,minmag,Mineralogical Magazine,Mineralogical Magazine,0026-461X,,,,
+,123456789s/22,Serial,minmet,Mining and Metallurgy,Mining and Metallurgy,0096-7289,,,,
+,123456789s/22,Serial,minngsar,"Minnesota Geological Survey, Annual Report","Minnesota Geological Survey, Annual Report",,,,,
